60,Chicken Katsu Curry,15,3,"Regular, Large",Curry,60.jpg,Japanese curry and crumbed chicked on rice
61,Pork Katsu Curry,20,3,"Regular, Large",Curry,61.jpg,Japanese curry and crumbed pork served on rice
62,Mini Cucumber Roll,3,,,Sushi,62.jpg,8pcs mini inside out cucmber rolls with sesame seeds
63,Mini Avocado Roll,4,,,Sushi,63.jpg,Mini sushi roll with avocado
64,Spicy Tuna Roll,9,,,Sushi,64.jpg,Sushi roll made with spicy tuna
65,Tempura Prawn Roll,9,,,Sushi,65.jpg,Tempura sushi
66,Salmon Wrap Roll,15,,,Sushi,66.jpg,Salmon roll
67,Assorted Sashimi,15,,,Sushi,67.jpg,15pc + 2 oysters
68,Party Sashimi for 2,40,,,Sushi,68.jpg,30pc fresh sashimi
69,Party Sushi for 2,40,,,Sushi,69.jpg,18pc nigiri sushi and 6pc mini rolls
70,Fanta,3,$1.20 ,"glass,bottle",Drink,70.jpg,
71,Ice tea,3,,bottle,Drink,71.jpg,
72,Pepsi,3,$1.20 ,"glass,bottle",Drink,72.jpg,
73,7up,3,$1.20 ,"glass,bottle",Drink,73.jpg,
74,Sake,5,,bottle,Drink,74.jpg,
75,Soju,15,,bottle,Drink,75.jpg,
76,Kae-Dama,3,,,Extra,76.jpg,Extra noodle refill
